group_type,group,n_observations,mape,mse,mae,valid_count,ignored_count,mean_target,total_target,total_abs_error,threshold,lower,upper,n_days,upper_daily_total,lower_daily_total
flow_magnitude,low_flow_<500,792,34.528833121591504,0.24526066449609357,0.3343801626789461,792,0,172.77777099609375,136840.0,45756.58146099033,<500,,,,,
flow_magnitude,mid_flow_500_3000,1565,17.091999849366275,0.07731888891192748,0.1760356458270738,1565,0,1503.20068359375,2352509.0,414125.4411290052,500-3000,,,,,
flow_magnitude,high_flow_>=3000,1883,13.032710619114695,0.034273389356305944,0.12990580351730577,1883,0,7603.52001953125,14317428.0,1859916.988641173,>=3000,,,,,
target_tertile,target_low_tertile,1400,26.91994011165001,0.0698564350055266,0.19846565064031677,1400,0,485.7435607910156,680041.0,134964.77952709363,,,1269.0,,,
target_tertile,target_mid_tertile,1398,16.251858024874448,0.054294227323709886,0.16129624220487465,1398,0,2474.3017578125,3459074.0,557935.6377085862,,1269.0,4368.960000000001,,,
target_tertile,target_high_tertile,1442,12.641051329588887,0.03402087662584674,0.12842927084693986,1442,0,8784.7861328125,12667662.0,1626898.5939954892,,4368.960000000001,,,,
daily_total,low_demand_days,1060,17.85882270281128,0.02530684737442551,0.11284939922970205,1060,0,3049.574462890625,3232549.0,364791.21263057523,,,,53.0,66825.25,
daily_total,normal_demand_days,2120,16.175524029519806,0.021709769006387155,0.11473230905294449,2120,0,3830.16845703125,8119957.0,931621.4160206211,,,,106.0,91716.5,66825.25
daily_total,high_demand_days,1060,23.975421400745013,0.05471623829335078,0.18763027773646934,1060,0,5145.53857421875,5454271.0,1023386.3825799723,,,,53.0,,91716.5
