baseline,baseline_mape,baseline_mse,baseline_mae,ramr_mape,ramr_mse,ramr_mae,mape_margin,mse_margin,mae_margin,mape_prob_ramr_better,mse_prob_ramr_better,mae_prob_ramr_better,all_three_prob_ramr_better
TimeMixer,24.483714997768402,0.038867226811814204,0.1525686276773129,18.546323040648975,0.035640054881848904,0.13802760334469663,5.937391957119427,0.0032271719299653,0.014541024332616281,1.0,0.894,1.0,0.894
DLinear,24.191367626190186,0.05428245067519333,0.1826079850174714,18.546323040648975,0.035640054881848904,0.13802760334469663,5.645044585541211,0.018642395793344424,0.04458038167277478,1.0,1.0,1.0,1.0
FreEformer,22.604434192180634,0.044534127587090695,0.1592583848324032,18.546323040648975,0.035640054881848904,0.13802760334469663,4.058111151531659,0.008894072705241791,0.021230781487706574,1.0,1.0,1.0,1.0
PatchTST,28.288650512695312,0.0590790387913371,0.18232625341112405,18.546323040648975,0.035640054881848904,0.13802760334469663,9.742327472046338,0.023438983909488197,0.044298650066427414,1.0,1.0,1.0,1.0
iTransformer,21.356631815433502,0.04764235152962891,0.16473049322487537,18.546323040648975,0.035640054881848904,0.13802760334469663,2.8103087747845272,0.012002296647780006,0.026702889880178743,1.0,1.0,1.0,1.0
