date,sample_idx,g_short,g_long,g_distribution,history_total_mean,history_volatility,daily_total_volatility,peak_to_average,trend_strength,robust_shift_z,target_cv,date_mape,date_norm_abs_error,date_total_target
2024-10-22,0,0.9240801930427551,0.06258166581392288,0.0133381811901927,85904.8333307902,0.2791304673216265,0.21737527252124944,1.2401048447388923,0.04592291081933831,0.20498514172337284,0.22039198923718106,20.381324955366914,0.0905028071880048,65445.0
2024-10-23,1,0.8533233404159546,0.004368012771010399,0.1423085778951645,84774.8333307902,0.2978851154736558,0.23616524919663986,1.25663473243666,0.11989407234031609,0.7253320399442424,0.2268844366600536,7.873227142895807,0.05194745049567005,71521.99998474121
2024-10-24,2,0.7450851798057556,0.0024724872782826424,0.25244224071502686,84093.6666615804,0.2151659000362632,0.17294207321422822,1.266813592856101,0.4163095914957082,0.37475978355157175,0.2273503698254511,11.993268857502391,0.058406385070105836,76724.0
2024-10-25,3,0.03678905591368675,0.02971920184791088,0.9334917664527893,79125.83332824707,0.19765548660976362,0.14635320219938927,1.267272593120918,0.09979041822212587,0.027805661481809824,0.19986906349397932,16.901748903081515,0.14117829525604778,107778.0
2024-10-26,4,0.309233158826828,0.5217645764350891,0.16900226473808289,82985.49999491374,0.23004051817790316,0.19030475502756095,1.298757011846718,0.09042543595831459,1.4436585646814883,0.2284394004572014,22.612292199846138,0.1372398703783967,77215.0
2024-10-27,5,0.18356868624687195,0.015147319994866848,0.8012839555740356,79142.3333307902,0.24747383138099185,0.19894321245650742,1.3618248978018082,0.013204058511040189,0.1742187938538477,0.2167616136868875,18.574707051031186,0.16016655691817142,96437.0
2024-10-28,6,0.6269997954368591,0.30599918961524963,0.06700101494789124,82520.16666412354,0.26714146398732214,0.2205707728478863,1.306080735860384,0.3755688003654273,1.0350098350872057,0.22385316386552806,13.990275059123809,0.09739124772857961,70145.99998474121
2024-10-29,7,0.9577093720436096,0.021713677793741226,0.02057694084942341,83303.6666615804,0.29599705862791026,0.25652416911508424,1.2937965916656,0.016517880366418616,0.36277845771211226,0.20572155911474038,19.86211911265641,0.08499096601783217,62849.000007629395
2024-10-30,8,0.5809872150421143,0.0016935981111600995,0.4173191785812378,81858.1666653951,0.30484025254784725,0.2627827736982462,1.3166432182699044,0.16950049772170322,0.7116828780921345,0.22745456035422293,8.067350876750616,0.0442667817660318,67647.0000076294
2024-10-31,9,0.811248242855072,0.0024156435392796993,0.18633601069450378,80345.33333333333,0.23797501466397197,0.19710121694011074,1.3414344745183293,0.4994814051723055,0.2582861539714189,0.2427580520948923,11.662314230567315,0.05228795191922255,73922.0
2024-11-01,10,0.02400723472237587,0.025368858128786087,0.9506239295005798,74702.66666666667,0.20221096528116547,0.15893867853760418,1.2909445445945704,0.04408142502721902,0.23251231626513258,0.1965137783019922,16.48264471021425,0.13219013757970716,107883.0
2024-11-02,11,0.3240275979042053,0.5162304043769836,0.15974196791648865,79814.0,0.233492887388603,0.201033761449745,1.3516801563635452,0.14340842458716516,1.5907084068361739,0.23897674343610786,15.483118406757365,0.10118753647466776,77711.0
2024-11-03,12,0.10552221536636353,0.01232682354748249,0.8821509480476379,76693.0,0.23306608328301248,0.20244371576718798,1.4066863990194671,0.09864003253567848,0.6685115413217709,0.22078382471126717,17.795490318805392,0.11571229391723385,98030.00001525879
2024-11-04,13,0.6233922243118286,0.3386986553668976,0.03790914639830589,81340.3333384196,0.2604232627271271,0.23393229316196643,1.3263161776230816,0.4325160540129272,0.9359160719586861,0.22536154563995084,17.565489841331562,0.10534680369608126,68453.0
2024-11-05,14,0.9465513825416565,0.049774330109357834,0.003674357431009412,82274.33333714803,0.2937626229700858,0.2790067038236529,1.3112594854814739,0.009796493750581205,0.3183527884287394,0.21198608516303946,39.18661754777411,0.43354539272322684,42615.0
