baseline,baseline_mape,baseline_mse,baseline_mae,ramr_mape,ramr_mse,ramr_mae,mape_absolute_margin,mse_absolute_margin,mae_absolute_margin,mape_relative_reduction_pct,mse_relative_reduction_pct,mae_relative_reduction_pct,bootstrap_prob_mape_below_baseline,bootstrap_prob_mse_below_baseline,bootstrap_prob_mae_below_baseline,bootstrap_prob_all_below_baseline
FreEformer,20.153965055942535,0.040025995799741,0.14813873285393928,18.546323040648975,0.035640054881848904,0.13802760334469663,1.6076420152935604,0.0043859409178920936,0.010111129509242645,7.976802633283995,10.95773092026476,6.825446197931193,0.958,0.852,0.926,0.829
iTransformer,21.371063590049744,0.04350613024471263,0.15433272270660348,18.546323040648975,0.035640054881848904,0.13802760334469663,2.8247405494007687,0.007866075362863725,0.016305119361906845,13.217594611041974,18.080383887555023,10.56491395729727,0.999,0.966,0.9915,0.9645
TimeMixer,23.547953367233276,0.042383958010442244,0.1598794884872624,18.546323040648975,0.035640054881848904,0.13802760334469663,5.001630326584301,0.00674390312859334,0.02185188514256578,21.240191232686982,15.911451985989197,13.667722701218624,1.0,0.9435,0.9995,0.9435
PatchTST,24.314039945602417,0.05485794169691043,0.17096280095599525,18.546323040648975,0.035640054881848904,0.13802760334469663,5.767716904953442,0.01921788681506153,0.03293519761129862,23.721754664619716,35.03209602948677,19.2645402550324,1.0,1.0,1.0,1.0
DLinear,24.343043565750122,0.05431416031986068,0.18245048901704872,18.546323040648975,0.035640054881848904,0.13802760334469663,5.796720525101147,0.018674105438011776,0.044422885672352086,23.812636696164592,34.381651724041006,24.347912637384646,1.0,1.0,1.0,1.0
