model,mape,ramr_mape,mape_absolute_margin,mape_relative_reduction_pct,mape_point_better,mape_ci95_upper_below_baseline,mse,ramr_mse,mse_absolute_margin,mse_relative_reduction_pct,mse_point_better,mse_ci95_upper_below_baseline,mae,ramr_mae,mae_absolute_margin,mae_relative_reduction_pct,mae_point_better,mae_ci95_upper_below_baseline,all_three_point_better,all_three_ci95_upper_below_baseline,minimum_relative_reduction_pct
FreEformer,20.153965055942535,18.546323040648975,1.6076420152935604,7.976802633283995,True,False,0.040025995799741,0.035640054881848904,0.0043859409178920936,10.95773092026476,True,False,0.14813873285393928,0.13802760334469663,0.010111129509242645,6.825446197931193,True,False,True,False,6.825446197931193
iTransformer,21.371063590049744,18.546323040648975,2.8247405494007687,13.217594611041974,True,True,0.04350613024471263,0.035640054881848904,0.007866075362863725,18.080383887555023,True,False,0.15433272270660348,0.13802760334469663,0.016305119361906845,10.56491395729727,True,True,True,False,10.56491395729727
TimeMixer,23.547953367233276,18.546323040648975,5.001630326584301,21.240191232686982,True,True,0.042383958010442244,0.035640054881848904,0.00674390312859334,15.911451985989197,True,False,0.1598794884872624,0.13802760334469663,0.02185188514256578,13.667722701218624,True,True,True,False,13.667722701218624
PatchTST,24.314039945602417,18.546323040648975,5.767716904953442,23.721754664619716,True,True,0.05485794169691043,0.035640054881848904,0.01921788681506153,35.03209602948677,True,True,0.17096280095599525,0.13802760334469663,0.03293519761129862,19.2645402550324,True,True,True,True,19.2645402550324
DLinear,24.343043565750122,18.546323040648975,5.796720525101147,23.812636696164592,True,True,0.05431416031986068,0.035640054881848904,0.018674105438011776,34.381651724041006,True,True,0.18245048901704872,0.13802760334469663,0.044422885672352086,24.347912637384646,True,True,True,True,23.812636696164592
